POS,Name,B,T,BABIP,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BBT,GBT,FBT,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,SPE,STE,SR,RUN,ACT,CID,CTier,L10,BUY,SELL,Lock,VAR,VLvl
RP,Pedro Borbon,R,L,2,2,5,3,1,3,1,2,5,3,1,3,1,Normal,Normal,Normal,156,130,91,95,148,54,110,90,88,122,16,37,-,-,-,35,20,26,23,1,4,5,65,-,-,-,-,-,-,-,-,9,6,3,14,No,83305,Diamond,4 971,0,4 546,No,N,0
SS,Ray Chapman,R,R,104,102,96,100,21,132,88,105,106,107,66,94,103,Groundball,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,8,-,-,-,102,67,77,99,5,3,5,-,-,-,122,97,100,-,-,-,91,106,102,95,No,83678,Diamond,25 892,0,0,No,Y,5
SP,Bill Hallahan,R,L,27,37,27,67,37,64,5,22,17,64,24,65,11,Normal,Normal,Normal,116,117,59,153,100,118,98,54,74,110,72,92,-,-,-,27,13,21,24,2,4,4,47,-,-,-,-,-,-,-,-,19,9,7,29,No,84071,Diamond,4 366,0,4 488,No,N,0
SP,Noah Schultz,L,L,14,12,20,5,10,12,28,15,21,5,10,12,28,Normal,Normal,Normal,116,122,75,98,135,108,104,75,76,118,56,55,1,1,1,47,49,42,54,27,23,23,95,-,110,-,-,-,16,-,1,17,5,25,21,Yes,84626,Diamond,5 169,4 001,5 165,No,N,0
SS,Ted Strong,S,R,93,104,93,66,90,109,80,90,87,69,94,118,84,Normal,Pull,Spray,1,7,1,20,1,1,6,1,16,1,1,24,1,1,1,78,64,76,69,61,70,84,-,-,99,-,74,67,-,-,75,57,71,39,55,No,84564,Diamond,5 042,4 001,5 331,No,N,0
CF,George Van Haltren,L,L,80,68,79,75,72,82,94,84,95,79,90,89,107,Normal,Normal,Normal,46,33,62,1,49,42,30,60,1,45,25,4,-,-,-,10,4,8,3,64,44,71,-,-,-,-,-,-,70,46,67,83,93,89,82,No,83799,Diamond,5 389,4 002,5 400,Yes,N,0
RP,Hoyt Wilhelm,R,R,1,1,11,54,7,32,18,1,9,34,15,52,14,Normal,Pull,Pull,74,97,45,134,79,121,102,133,135,86,53,57,-,-,-,29,49,34,23,6,6,7,82,-,-,-,-,-,-,-,-,16,6,5,28,No,84054,Diamond,33 942,19 569,38 788,Yes,N,0
LF,Randy Arozarena,R,R,88,94,83,129,96,134,73,86,81,122,73,111,78,Line Drive,Pull,Pull,1,2,1,1,3,1,2,1,1,3,1,22,-,-,-,4,10,4,4,78,110,93,-,-,-,-,-,-,104,-,103,89,95,76,96,No,82922,Diamond,4 204,0,4 996,No,N,0
CF,Cool Papa Bell,S,L,88,94,98,65,88,91,98,86,91,64,86,82,95,Normal,Spray,Pull,23,29,32,34,27,23,28,32,30,28,95,53,1,1,1,53,22,47,20,86,85,70,84,-,55,-,-,-,103,83,96,95,97,89,88,No,84550,Diamond,5 665,4 100,5 555,Yes,N,0
1B,Yandy Diaz,R,R,100,103,106,65,79,85,100,100,103,63,77,83,98,Normal,Normal,Normal,1,25,1,75,1,1,25,1,74,1,1,-,4,4,6,33,39,59,43,40,45,72,84,-,63,24,30,-,45,14,44,4,12,8,58,No,82538,Diamond,4 005,1 150,4 006,Yes,N,0
RP,John Habyan,R,R,1,1,4,3,1,3,1,1,4,3,1,3,1,Normal,Spray,Spray,68,122,95,72,147,98,101,91,88,108,22,115,-,-,-,30,20,24,23,8,3,9,58,-,-,-,-,-,-,-,-,7,6,5,9,No,83315,Diamond,4 494,0,4 698,No,N,0
SP,Dan Haren,R,R,35,47,38,75,16,37,32,31,30,110,31,37,30,Normal,Spray,Spray,108,102,88,162,72,100,80,118,86,77,73,73,-,-,-,30,45,33,23,10,6,3,80,-,-,-,-,-,-,-,-,8,6,4,28,No,84080,Diamond,4 396,0,4 320,No,N,0
C,Jason Kendall,R,R,107,114,119,118,81,89,114,105,119,69,60,77,125,Normal,Spray,Spray,1,1,1,1,1,1,1,1,1,1,1,22,72,70,55,3,5,8,10,9,5,1,-,64,-,-,-,-,-,-,-,71,99,74,69,No,84792,Diamond,5 348,4 001,5 500,No,N,0
SP,Jack Lynch,R,R,6,6,61,52,4,60,107,6,60,51,4,58,102,Normal,Pull,Pull,84,87,133,87,87,81,84,138,82,86,97,49,-,-,-,27,20,21,16,5,7,1,52,-,-,-,-,-,-,-,-,89,90,100,62,No,83321,Diamond,17 174,12 001,17 775,Yes,N,0
SP,Cam Schlittler,R,R,15,16,29,13,17,11,36,15,29,12,16,10,35,Normal,Pull,Pull,87,88,82,88,89,91,91,83,89,92,66,38,1,1,1,24,20,52,12,33,25,26,57,-,48,-,8,-,23,-,9,17,16,20,15,No,82580,Diamond,15 281,10 500,16 700,Yes,N,0
CL,Devin Williams,R,R,34,34,28,13,15,23,17,34,28,13,15,23,17,Normal,Normal,Normal,115,89,70,94,87,136,93,73,91,94,14,34,1,1,3,24,23,57,17,13,18,30,61,-,44,-,14,-,-,-,-,24,13,10,50,No,84585,Diamond,4 270,0,4 090,Yes,N,0
C,Tom Young,L,R,97,81,87,104,77,83,93,104,104,117,104,84,96,Normal,Normal,Spray,8,15,19,21,12,8,25,19,43,17,50,60,67,67,71,25,21,22,19,45,56,56,53,67,-,-,-,-,49,-,-,67,89,64,61,No,84557,Diamond,5 217,4 001,5 200,Yes,N,0
CF,Pete Crow-Armstrong,L,L,93,95,84,85,87,62,73,93,84,89,95,64,75,Normal,Pull,Pull,1,26,1,78,1,1,25,1,74,1,1,-,1,1,3,36,44,61,23,105,93,81,87,-,61,-,-,-,127,112,121,90,89,93,67,No,81990,Diamond,4 062,0,4 125,Yes,N,0
3B,Heinie Groh,R,R,91,97,112,98,10,110,120,90,111,120,28,90,136,Normal,Spray,Spray,1,1,1,1,1,1,1,1,1,1,1,14,-,-,-,83,85,83,79,1,7,8,-,-,-,96,91,-,-,-,-,64,82,80,62,No,83795,Diamond,4 464,4 001,4 250,No,N,0
1B,Mike Hargrove,L,L,90,93,114,45,45,132,138,90,115,47,48,151,150,Groundball,Spray,Spray,1,2,1,1,3,1,2,1,1,3,1,21,-,-,-,47,39,43,59,58,48,52,-,-,68,-,-,-,61,-,-,33,67,12,35,No,83817,Diamond,7 963,6 251,8 877,No,N,0
2B,Edouard Julien,L,R,98,68,67,81,69,123,67,111,96,98,108,144,80,Normal,Ex. Pull,Pull,1,2,1,1,3,1,3,1,3,3,1,11,-,-,-,49,70,36,60,10,9,3,-,-,-,53,-,-,-,-,-,52,101,61,61,Yes,84213,Diamond,5 195,4 001,5 000,Yes,N,0
LF,Wyatt Langford,R,R,87,87,84,96,88,92,82,88,85,91,85,86,82,Normal,Pull,Pull,1,26,6,76,1,1,26,6,78,1,8,20,28,28,47,33,47,56,28,72,68,68,86,19,62,20,29,-,83,60,78,48,81,65,51,No,82203,Diamond,4 107,0,4 068,Yes,N,0
LF,Matty McIntyre,L,L,98,110,105,75,37,106,93,96,99,88,60,96,98,Groundball,Spray,Spray,1,3,1,1,4,1,3,1,1,4,1,12,-,-,-,3,6,5,4,102,103,70,-,-,-,-,-,-,123,107,114,71,79,79,64,No,84180,Diamond,5 512,4 428,5 600,Yes,N,0
RF,Fernando Tatis Jr.,R,R,91,92,88,74,70,99,82,91,87,75,70,90,82,Normal,Ex. Pull,Pull,1,28,1,83,1,1,27,1,81,1,1,-,1,1,1,60,70,90,55,72,72,85,119,-,94,63,74,56,88,65,87,47,83,63,72,No,81753,Diamond,4 399,0,4 400,Yes,N,0
SP,Kyle Bradish,R,R,26,27,25,23,4,12,25,26,25,21,4,11,24,Normal,Spray,Spray,87,82,76,74,87,89,85,77,75,90,60,50,1,1,5,24,42,56,16,18,28,30,78,-,59,2,22,-,9,-,-,15,11,14,19,No,84391,Gold,1 192,1 001,1 193,Yes,N,0
SP,Dave Brown,L,L,23,23,30,58,3,62,36,24,31,60,4,63,37,Normal,Spray,Pull,106,89,81,80,94,102,88,79,81,92,83,60,1,1,1,29,26,27,25,53,59,65,64,-,-,-,-,-,-,-,56,8,6,4,28,No,84506,Gold,2 416,1 152,2 700,Yes,N,0
SS,Yu Chang,R,R,115,136,113,113,95,97,89,109,95,87,96,70,79,Groundball,Spray,Spray,1,1,1,1,1,1,1,1,1,2,1,20,-,-,-,88,103,82,90,1,3,2,-,-,96,110,102,95,-,-,-,71,78,56,76,No,82774,Gold,1 623,1 001,1 700,Yes,N,0
CF,Oscar Charleston,L,L,63,63,75,82,69,96,91,64,79,101,84,88,99,Normal,Pull,Normal,11,29,17,29,29,11,31,17,32,31,81,80,59,55,62,53,72,62,70,90,77,69,114,53,60,-,-,-,105,87,98,57,70,56,73,No,84545,Gold,1 812,1 450,1 778,Yes,N,0
SP,Reid Detmers,L,L,23,23,22,13,7,20,22,23,22,13,7,20,22,Normal,Pull,Pull,94,78,84,78,78,92,75,84,75,76,63,99,4,4,2,15,24,57,3,31,51,7,49,-,32,-,-,-,21,-,-,16,12,17,20,No,82321,Gold,1 461,1 001,1 494,No,N,0
CL,Edwin Diaz,R,R,27,27,23,25,7,26,20,27,23,25,7,26,20,Normal,Normal,Normal,142,77,75,73,79,130,80,72,81,80,15,43,-,-,-,24,24,51,9,-,-,-,59,-,44,-,9,-,-,-,-,22,21,21,23,No,81793,Gold,2 610,1 454,2 440,Yes,N,0
3B,Sid Gordon,R,R,50,59,81,84,128,148,111,48,74,77,111,170,100,Normal,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,12,-,-,-,48,78,64,34,56,81,64,-,-,67,-,55,-,68,-,62,17,9,13,63,Yes,85304,Gold,1 597,1 015,1 472,No,N,0
RP,Chris Hammond,L,L,10,11,8,2,1,3,1,10,8,4,1,4,1,Normal,Spray,Spray,105,126,81,131,124,68,139,57,119,150,20,70,-,-,-,35,13,24,23,8,4,9,57,-,-,-,-,-,-,-,-,5,6,4,5,Yes,85218,Gold,1 574,1 001,1 555,No,N,0
RP,Hunter Harvey,R,R,27,27,26,14,2,32,27,27,26,14,2,32,27,Normal,Normal,Normal,88,84,93,82,85,95,89,96,85,91,16,38,3,3,2,16,27,47,5,7,24,26,52,-,38,-,-,-,-,-,-,14,2,14,25,No,82002,Gold,1 260,0,1 400,Yes,N,0
SP,Teddy Higuera,S,L,1,1,4,2,1,2,1,1,4,3,1,3,1,Normal,Spray,Spray,106,85,82,110,73,91,83,75,99,76,82,77,-,-,-,35,31,30,23,3,10,1,76,-,-,-,-,-,-,-,-,5,6,5,5,No,83309,Gold,1 635,0,1 450,No,N,0
C,Carter Jensen,L,R,73,68,66,72,91,102,66,75,78,93,110,117,83,Normal,Ex. Pull,Pull,1,26,8,76,1,1,26,8,77,1,9,14,59,54,67,24,30,63,16,39,43,67,69,55,42,-,20,-,42,-,40,56,98,39,25,Yes,84644,Gold,1 500,1 333,1 488,No,N,0
SS,Eddie Joost,R,R,69,92,74,85,122,158,56,61,63,82,93,149,66,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,9,-,-,-,101,79,71,107,7,5,6,-,-,-,120,93,97,-,-,-,48,51,42,64,No,83978,Gold,1 641,1 137,1 649,Yes,N,0
2B,Tony Lazzeri,R,R,96,84,75,61,78,76,67,100,73,75,116,97,41,Normal,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,6,-,-,-,106,86,78,59,9,8,7,-,-,-,109,96,94,-,-,-,67,78,76,64,No,83832,Gold,1 398,1 111,1 515,Yes,N,0
SP,Nolan McLean,R,R,67,68,54,66,85,62,36,67,53,65,83,61,35,Normal,Pull,Pull,91,82,73,86,81,98,86,74,87,86,63,64,1,1,1,54,42,79,40,37,39,78,100,-,80,43,51,34,42,-,43,27,26,28,26,No,82089,Gold,1 574,1 250,1 554,No,N,0
1B,Munetaka Murakami,L,R,74,72,64,57,109,121,54,75,66,60,113,126,56,Normal,Pull,Pull,1,20,1,60,1,1,21,1,61,1,-,-,-,-,-,47,46,66,44,42,35,50,96,-,80,39,43,28,41,11,34,23,67,45,42,No,84975,Gold,2 157,1 661,2 248,Yes,N,0
SP,Old Hoss Radbourn,R,R,41,42,66,35,38,87,87,41,65,34,37,87,85,Normal,Normal,Normal,82,95,94,153,67,85,97,90,156,68,128,71,-,-,-,28,28,30,33,55,54,67,66,-,36,-,-,-,-,-,59,55,85,91,50,No,82687,Gold,2 180,1 850,2 199,Yes,N,0
SP,Elmer Rodriguez,L,R,27,29,26,21,6,17,24,27,25,21,6,17,24,Normal,Normal,Normal,94,106,59,94,113,94,113,62,99,121,66,48,3,3,2,18,14,64,10,11,25,22,46,-,34,-,-,-,-,-,-,23,15,6,49,No,84749,Gold,1 770,1 159,1 776,No,N,0
1B,Andre Thornton,R,R,52,42,68,57,123,131,91,56,62,70,119,103,68,Normal,Pull,Pull,1,3,1,1,4,1,3,1,2,4,1,14,-,-,-,32,26,29,31,5,6,7,-,-,52,-,-,-,-,-,-,48,44,37,40,No,84373,Gold,1 141,0,1 222,Yes,N,0
RF,Kyle Tucker,L,R,68,68,79,73,91,95,94,69,80,79,93,102,94,Normal,Pull,Pull,1,27,1,80,1,1,28,1,84,1,1,-,1,1,1,27,25,58,3,65,66,76,65,-,51,-,14,-,78,52,75,50,85,65,70,No,81781,Gold,2 404,2 000,2 457,Yes,N,0
RF,Dixie Walker,L,R,76,67,84,93,60,91,108,80,100,70,73,121,132,Normal,Spray,Spray,1,1,1,1,1,1,1,1,2,1,1,2,-,-,-,7,1,5,8,54,44,54,-,-,-,-,-,-,56,29,49,34,67,21,36,No,83993,Gold,3 193,3 000,3 500,Yes,N,0
SP,Jesse Barnes,L,R,36,25,30,44,8,25,34,40,40,66,4,28,44,Normal,Normal,Normal,50,76,131,62,84,60,89,150,121,73,87,98,-,-,-,27,42,32,28,1,4,7,77,-,-,-,-,-,-,-,-,65,64,76,60,No,82689,Gold,2 398,1 002,2 333,Yes,N,0
SS,Jeff Blauser,R,R,106,88,83,75,91,121,78,115,93,68,83,107,72,Groundball,Pull,Pull,1,1,1,1,1,1,1,1,2,1,1,1,-,-,-,72,76,75,70,4,10,5,-,-,-,81,76,66,-,-,-,54,72,54,53,No,84185,Gold,1 219,0,1 270,Yes,N,0
RF,Willard Brown,R,R,87,89,94,95,99,58,97,87,91,92,93,53,93,Normal,Normal,Normal,1,11,1,20,7,1,11,1,20,7,1,16,1,1,1,80,65,78,70,88,49,73,-,-,-,83,76,69,98,82,93,64,79,77,66,No,84539,Gold,5 380,1 452,8 775,Yes,N,0
SP,Madison Bumgarner,R,L,55,55,44,30,131,83,35,55,44,25,124,38,36,Flyball,Spray,Spray,79,108,104,85,120,97,78,109,87,74,93,59,-,-,-,26,20,23,23,1,6,2,53,-,-,-,-,-,-,-,-,5,6,4,5,No,84660,Gold,1 248,0,1 299,No,N,0
RP,Tyler Clippard,R,R,14,14,12,36,2,20,9,14,12,36,2,19,9,Normal,Spray,Spray,89,101,51,104,100,130,106,70,106,107,17,98,-,-,-,27,20,23,23,2,10,3,55,-,-,-,-,-,-,-,-,16,6,5,28,No,84072,Gold,1 363,0,1 245,No,N,0
3B,Ray Dandridge,R,R,130,132,137,106,55,60,120,129,131,104,52,59,114,Groundball,Normal,Normal,1,9,1,19,4,1,9,1,19,4,1,11,53,53,53,94,79,101,85,6,8,3,-,-,-,108,105,96,-,-,-,66,81,63,64,No,84875,Gold,1 443,1 025,1 444,Yes,N,0
2B,Brian Dozier,R,R,62,69,76,96,142,87,86,60,74,90,126,80,91,Normal,Ex. Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,3,-,-,-,89,98,37,93,8,5,2,-,-,-,108,-,-,-,-,-,78,103,67,103,No,85529,Gold,8 366,5 000,17 331,No,N,0
C,Danny Jansen,R,R,65,32,79,67,114,154,124,70,71,67,141,76,73,Flyball,Spray,Spray,1,6,1,1,9,1,8,1,6,9,1,9,97,54,71,2,1,8,4,6,6,5,-,80,-,-,-,-,-,-,-,19,16,7,27,No,83635,Gold,6 449,0,2 501,No,Y,5
CF,Ray Lankford,L,L,79,67,67,91,104,84,69,83,72,132,104,135,63,Normal,Normal,Normal,1,1,1,1,1,1,1,1,2,1,1,5,-,-,-,5,5,10,6,78,44,50,-,-,-,-,-,-,81,63,-,62,73,80,74,No,83987,Gold,1 277,1 001,1 293,Yes,N,0
1B,Sam Leslie,L,L,115,124,110,82,57,87,91,113,117,61,50,91,112,Groundball,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,18,-,-,-,30,48,36,31,9,1,1,-,-,55,-,-,-,-,-,-,47,34,23,44,No,83744,Gold,2 339,1 810,2 164,Yes,N,0
CL,Andres Munoz,R,R,30,31,26,27,1,24,19,30,23,26,1,23,18,Normal,Normal,Normal,118,85,73,85,85,123,88,73,90,88,15,54,1,1,1,40,44,48,21,18,11,3,88,-,72,20,26,8,-,-,-,19,8,19,30,No,82249,Gold,2 528,1 666,7 700,Yes,N,0
CL,Andres Munoz,R,R,30,31,26,27,1,24,19,30,23,26,1,23,18,Normal,Normal,Normal,118,85,73,85,85,123,88,73,90,88,15,54,1,1,1,40,44,48,21,18,11,3,88,-,72,20,26,8,-,-,-,19,8,19,30,No,82249,Gold,2 528,1 666,7 700,No,N,0
C,Mitchell Murray,R,R,76,76,80,74,93,84,86,76,79,73,91,84,84,Normal,Pull,Normal,1,8,1,19,3,1,8,1,19,3,1,15,70,71,67,57,61,32,62,75,62,62,-,69,-,57,-,-,-,63,77,48,70,48,57,No,84541,Gold,1 669,1 025,1 667,Yes,N,0
1B,Ben Rice,L,R,69,69,71,76,100,94,75,70,74,82,109,99,80,Normal,Pull,Pull,1,25,1,75,1,1,27,1,80,1,1,23,43,45,56,24,27,24,21,33,29,20,58,38,44,-,-,-,23,-,5,39,67,22,34,No,82572,Gold,4 164,3 302,4 100,Yes,N,0
C,David Ross,R,R,109,133,93,117,74,90,63,101,97,128,22,135,89,Line Drive,Normal,Normal,1,1,1,1,1,1,3,1,1,4,1,25,89,94,96,7,7,5,2,9,7,9,-,101,-,-,-,-,-,-,-,9,6,5,14,No,83574,Gold,1 655,0,1 400,No,N,0
SP,Brandon Sproat,R,R,18,18,21,15,7,17,25,18,21,15,7,17,25,Normal,Normal,Normal,87,82,79,98,74,93,94,81,108,87,61,49,-,-,5,28,23,66,16,30,9,17,68,-,50,-,21,-,8,-,-,15,17,13,16,No,84631,Gold,1 401,1 200,1 400,No,N,0
CF,Clint Thomas,R,R,76,72,79,122,87,96,89,78,81,105,85,83,87,Normal,Normal,Spray,1,10,1,17,7,1,11,1,21,7,1,6,45,47,55,70,61,47,72,98,74,69,-,40,-,72,52,-,113,98,106,78,78,87,68,No,84536,Gold,1 679,1 077,1 777,Yes,N,0
SP,Framber Valdez,L,L,13,13,14,10,5,13,13,14,15,11,6,14,14,Normal,Normal,Normal,83,97,81,87,102,73,92,76,87,95,68,76,1,1,1,24,50,53,43,3,3,3,83,-,48,-,-,-,-,-,-,20,17,21,24,No,82423,Gold,1 157,0,1 179,Yes,N,0
CF,Richie Ashburn,L,R,98,133,120,31,35,148,100,90,107,35,41,133,122,Groundball,Pull,Pull,1,3,1,1,4,1,3,1,1,4,1,19,-,-,-,4,9,10,7,71,60,91,-,-,-,-,-,-,85,62,86,75,65,59,83,No,83989,Gold,5 519,3 033,9 999,Yes,N,0
RF,Dylan Beavers,L,R,79,76,82,82,82,117,91,81,93,90,94,108,107,Normal,Pull,Pull,1,43,52,80,25,1,43,51,79,25,71,44,1,1,2,27,29,55,22,57,66,75,71,-,57,5,17,-,69,41,66,113,107,87,89,No,84639,Gold,2 582,1 250,3 881,No,N,0
2B,Jazz Chisholm Jr.,L,R,76,76,73,66,93,86,71,76,75,67,101,91,75,Normal,Pull,Pull,1,28,1,82,1,1,28,1,82,1,1,-,1,1,1,74,67,75,80,76,74,68,126,-,77,83,74,67,89,66,83,69,89,87,66,No,82573,Gold,2 893,1 811,8 888,Yes,N,0
LF,Thad Christopher,L,R,78,76,75,71,91,94,75,79,79,73,97,98,80,Normal,Pull,Normal,1,7,1,17,2,1,8,1,20,2,1,5,53,53,53,5,3,2,3,63,59,66,-,45,-,-,-,-,72,47,67,59,64,38,53,No,84544,Gold,1 644,1 350,1 999,Yes,N,0
CF,Michael Harris II,L,L,95,92,92,78,89,49,89,96,96,80,90,54,93,Normal,Normal,Normal,1,45,33,78,29,1,45,32,80,28,58,48,3,3,2,16,29,66,7,93,73,64,59,-,34,-,-,-,106,90,98,63,80,70,63,No,82146,Gold,4 003,3 400,4 555,Yes,N,0
C,Ivan Herrera,R,R,80,80,84,77,83,97,90,81,83,76,84,94,87,Normal,Pull,Pull,1,28,1,82,1,1,28,1,82,1,-,-,36,36,36,24,25,50,10,32,35,51,61,22,36,-,10,-,30,-,24,28,74,34,33,No,81879,Gold,1 381,1 121,1 400,Yes,N,0
LF,Bug Holliday,R,R,90,90,99,63,96,63,106,90,98,62,94,62,104,Normal,Normal,Normal,1,3,1,1,5,1,3,1,1,5,1,9,-,-,-,4,2,4,4,56,64,69,-,-,-,-,-,-,66,37,62,74,84,70,83,No,83794,Gold,2 920,1 778,3 333,Yes,N,0
SS,Francisco Lindor,S,R,78,79,85,75,87,81,92,78,83,76,85,82,89,Normal,Ex. Pull,Normal,1,26,2,76,1,1,25,2,74,1,4,-,8,8,6,87,96,69,67,69,69,58,146,-,83,98,87,82,79,55,71,40,84,64,80,No,82085,Gold,1 369,0,1 888,Yes,N,0
SP,Rhett Lowder,R,R,22,22,22,26,19,16,23,22,22,26,19,16,23,Normal,Spray,Normal,86,81,97,67,88,88,90,98,78,97,75,39,1,1,1,27,31,26,35,4,4,4,68,-,50,11,-,-,-,-,-,18,13,22,21,No,84636,Gold,1 288,1 175,1 300,No,N,0
SP,Max Manning,R,R,23,24,23,19,8,29,23,23,22,19,7,28,22,Normal,Spray,Pull,81,80,74,77,82,89,90,77,88,91,68,60,1,1,1,29,26,27,25,45,56,56,64,-,-,-,-,-,49,-,-,16,6,3,28,No,84490,Gold,3 023,1 201,3 770,Yes,N,0
3B,Oliver Marcell,R,R,63,64,77,70,84,101,93,63,75,69,81,97,89,Normal,Pull,Normal,2,38,30,34,40,2,37,29,32,40,49,65,1,1,1,93,72,99,84,55,62,68,143,-,-,-,100,91,-,-,60,72,77,79,66,No,84524,Gold,1 705,1 050,1 777,Yes,N,0
1B,Tino Martinez,L,R,69,63,86,61,114,86,120,71,90,76,133,104,116,Flyball,Spray,Spray,1,2,1,1,3,1,2,1,1,3,1,9,-,-,-,61,67,47,71,9,2,6,-,-,88,-,-,-,-,-,-,36,71,13,43,No,84790,Gold,4 546,2 002,4 555,Yes,N,0
SP,Satchel Paige,R,R,51,51,56,51,3,54,62,51,59,51,3,34,66,Normal,Spray,Normal,100,79,92,97,70,108,87,99,101,80,71,63,1,1,1,29,32,29,25,9,2,4,71,-,-,-,-,-,-,-,-,41,11,4,29,No,84837,Gold,13 448,5 000,13 999,Yes,N,0
RP,Mel Rojas,R,R,21,21,19,40,5,30,16,21,19,40,5,30,16,Normal,Normal,Normal,97,91,64,83,96,97,96,86,98,95,20,95,-,-,-,27,20,23,23,8,10,8,55,-,-,-,-,-,-,-,-,16,6,4,28,No,84068,Gold,1 532,0,1 199,Yes,N,0
1B,Otto Schomberg,L,L,91,81,84,72,79,111,88,95,96,75,84,105,94,Normal,Spray,Spray,1,3,1,1,5,1,3,1,1,5,1,2,-,-,-,30,19,30,43,51,63,68,-,-,38,-,-,-,-,-,56,81,89,84,79,No,82914,Gold,2 531,1 600,2 555,Yes,N,0
CL,Robert Suarez,R,R,21,21,29,30,4,41,34,21,29,30,4,41,34,Normal,Normal,Normal,98,92,92,94,92,89,87,88,93,85,15,57,2,2,2,21,30,47,20,5,16,22,62,-,43,-,10,-,-,-,-,10,5,10,15,No,82156,Gold,2 607,1 901,2 495,Yes,N,0
SP,Ed Walsh,R,R,16,13,14,93,8,28,13,18,20,68,4,43,23,Normal,Normal,Normal,96,72,82,60,78,94,78,82,80,77,80,65,-,-,-,34,37,34,31,3,6,9,79,-,-,-,-,-,-,-,-,63,73,61,59,No,83297,Gold,2 266,2 222,0,Yes,N,0
RP,Tony Watson,L,L,5,5,6,3,1,3,1,6,6,4,1,3,2,Normal,Pull,Pull,79,148,74,125,160,72,122,90,119,124,11,63,-,-,-,35,20,26,23,6,4,2,65,-,-,-,-,-,-,-,-,5,6,3,6,No,85457,Gold,2 842,1 159,2 400,No,N,0
SS,Carson Williams,R,R,92,99,76,82,116,116,53,90,71,87,108,103,51,Normal,Pull,Pull,48,66,54,84,58,52,70,61,85,63,20,38,-,-,-,110,106,114,108,66,54,82,162,-,111,139,134,127,77,53,76,76,95,83,73,No,84635,Gold,1 396,1 001,1 443,No,N,0
LF,Smoky Joe Wood,R,R,82,95,99,99,93,80,99,77,81,89,107,69,87,Normal,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,14,-,-,-,56,52,33,59,42,49,57,-,-,-,52,-,-,45,-,40,51,73,72,45,No,83782,Gold,2 815,2 001,3 399,Yes,N,0
SP,George Zettlein,R,R,15,15,43,45,3,1,65,15,41,45,3,1,63,Normal,Spray,Spray,85,68,158,83,61,86,68,158,83,61,91,62,-,-,-,29,29,27,23,5,7,7,67,-,-,-,-,-,-,-,-,12,13,4,29,No,84091,Gold,1 966,1 150,2 325,Yes,N,0
1B,Jake Daubert,L,L,131,130,107,60,14,44,84,131,131,64,87,85,112,Groundball,Spray,Spray,1,5,1,1,7,1,5,1,1,7,1,23,-,-,-,34,64,44,34,1,3,3,-,-,63,-,-,-,-,-,-,70,74,72,65,No,83740,Gold,2 857,1 955,3 000,Yes,N,0
SP,Hod Eller,R,R,20,28,18,21,12,8,9,18,16,32,24,17,14,Normal,Spray,Spray,106,83,94,93,79,111,74,103,66,78,76,55,-,-,-,27,50,33,23,4,10,8,81,-,-,-,-,-,-,-,-,60,74,61,52,No,83320,Gold,2 936,2 700,3 444,Yes,N,0
LF,Fats Jenkins,L,R,90,90,93,51,65,97,93,91,95,52,67,98,96,Groundball,Normal,Normal,1,10,1,18,7,1,11,1,20,7,1,22,1,1,1,57,61,32,62,63,87,66,-,-,-,57,-,-,78,50,71,64,83,83,69,No,84543,Gold,1 585,1 400,2 220,Yes,N,0
SP,Walter Johnson,R,R,56,47,52,65,73,72,60,60,60,58,71,67,61,Normal,Spray,Spray,93,75,90,63,82,95,81,92,85,79,97,115,-,-,-,29,43,33,27,8,8,5,79,-,-,-,-,-,-,-,-,41,6,13,5,No,82693,Gold,2 567,1 445,2 823,Yes,N,0
SP,Michael King,R,R,25,25,21,24,5,26,17,25,21,24,5,26,17,Normal,Normal,Normal,89,82,72,91,78,92,85,73,96,80,62,54,1,1,1,15,29,43,23,2,2,2,54,-,38,-,-,-,-,-,-,14,8,15,19,No,81765,Gold,1 739,1 557,2 093,Yes,N,0
SP,Michael King,R,R,25,25,21,24,5,26,17,25,21,24,5,26,17,Normal,Normal,Normal,89,82,72,91,78,92,85,73,96,80,62,54,1,1,1,15,29,43,23,2,2,2,54,-,38,-,-,-,-,-,-,14,8,15,19,No,81765,Gold,1 739,1 557,2 093,No,N,0
SP,Michael King,R,R,25,25,21,24,5,26,17,25,21,24,5,26,17,Normal,Normal,Normal,89,82,72,91,78,92,85,73,96,80,62,54,1,1,1,15,29,43,23,2,2,2,54,-,38,-,-,-,-,-,-,14,8,15,19,No,81765,Gold,1 739,1 557,2 093,No,N,0
